id_transaksi,tanggal,nama_produk,kategori,jumlah_terjual,harga_satuan,nama_kasir,metode_pembayaran,omzet,hari,kelompok_omzet
TRX0042,2026-08-11,Roti Bakar,Makanan,9,7000,Pak Agus,Tunai,63000,Selasa,Sedang
TRX0005,2026-08-03,Gorengan,Makanan,2,2000,Bu Sri,QRIS,4000,Senin,Kecil
TRX0011,2026-08-04,Jus Alpukat,Minuman,4,8000,Bu Wati,Tunai,32000,Selasa,Sedang
TRX0035,2026-08-10,Mie Ayam,Makanan,4,10000,Pak Joko,Transfer,40000,Senin,Sedang
TRX0007,2026-08-03,Kerupuk,Snack,10,2000,Bu Wati,Transfer,20000,Senin,Sedang
TRX0045,2026-08-11,Teh Botol,Minuman,9,5000,Pak Joko,QRIS,45000,Selasa,Sedang
TRX0061,2026-08-14,Teh Botol,Minuman,14,5000,Bu Sri,QRIS,70000,Jumat,Sedang
TRX0008,2026-08-04,Mie Ayam,Makanan,14,10000,Pak Joko,Tunai,140000,Selasa,Besar
TRX0031,2026-08-07,Nasi Goreng,Makanan,10,12000,Pak Agus,Tunai,120000,Jumat,Besar
TRX0057,2026-08-13,Jus Alpukat,Minuman,14,8000,Bu Sri,Tunai,112000,Kamis,Besar
TRX0017,2026-08-05,Es Jeruk,Minuman,1,4000,Bu Wati,Transfer,4000,Rabu,Kecil
TRX0052,2026-08-12,Roti Bakar,Makanan,3,7000,Bu Wati,Tunai,21000,Rabu,Sedang
TRX0047,2026-08-12,Teh Botol,Minuman,12,5000,Pak Joko,QRIS,60000,Rabu,Sedang
TRX0015,2026-08-05,Kerupuk,Snack,7,2000,Bu Sri,QRIS,14000,Rabu,Kecil
TRX0048,2026-08-12,Keripik Singkong,Snack,15,3000,Bu Wati,QRIS,45000,Rabu,Sedang
TRX0004,2026-08-03,Nasi Goreng,Makanan,13,12000,Pak Joko,QRIS,156000,Senin,Besar
TRX0054,2026-08-13,Jus Alpukat,Minuman,15,8000,Pak Joko,Tunai,120000,Kamis,Besar
TRX0014,2026-08-05,Bakso,Makanan,9,11000,Pak Agus,Tunai,99000,Rabu,Besar
TRX0026,2026-08-07,Teh Botol,Minuman,8,5000,Pak Joko,QRIS,40000,Jumat,Sedang
TRX0034,2026-08-10,Bakso,Makanan,1,11000,Bu Sri,QRIS,11000,Senin,Kecil
TRX0046,2026-08-11,Nasi Goreng,Makanan,15,12000,Bu Wati,QRIS,180000,Selasa,Besar
TRX0003,2026-08-03,Nasi Goreng,Makanan,9,12000,Pak Joko,Transfer,108000,Senin,Besar
TRX0025,2026-08-06,Mie Ayam,Makanan,9,10000,Pak Joko,Tunai,90000,Kamis,Besar
TRX0019,2026-08-06,Nasi Goreng,Makanan,10,12000,Bu Wati,QRIS,120000,Kamis,Besar
TRX0012,2026-08-04,Mie Ayam,Makanan,4,10000,Bu Wati,QRIS,40000,Selasa,Sedang
TRX0032,2026-08-07,Roti Bakar,Makanan,7,7000,Pak Agus,QRIS,49000,Jumat,Sedang
TRX0059,2026-08-14,Bakso,Makanan,11,11000,Bu Sri,Tunai,121000,Jumat,Besar
TRX0055,2026-08-13,Teh Botol,Minuman,6,5000,Bu Sri,Tunai,30000,Kamis,Sedang
TRX0043,2026-08-11,Nasi Goreng,Makanan,1,12000,Bu Wati,QRIS,12000,Selasa,Kecil
TRX0029,2026-08-07,Nasi Uduk,Makanan,14,8000,Bu Sri,QRIS,112000,Jumat,Besar
TRX0051,2026-08-12,Mie Ayam,Makanan,13,10000,Bu Wati,Tunai,130000,Rabu,Besar
TRX0060,2026-08-14,Kerupuk,Snack,5,2000,Pak Joko,QRIS,10000,Jumat,Kecil
TRX0006,2026-08-03,Nasi Goreng,Makanan,12,12000,Pak Agus,Transfer,144000,Senin,Besar
TRX0027,2026-08-07,Gorengan,Makanan,7,2000,Pak Agus,QRIS,14000,Jumat,Kecil
TRX0023,2026-08-06,Mie Ayam,Makanan,4,10000,Pak Joko,Tunai,40000,Kamis,Sedang
TRX0020,2026-08-06,Roti Bakar,Makanan,4,7000,Pak Joko,QRIS,28000,Kamis,Sedang
TRX0062,2026-08-14,Es Teh,Minuman,4,3000,Pak Joko,Tunai,12000,Jumat,Kecil
TRX0022,2026-08-06,Es Teh,Minuman,4,3000,Pak Joko,Tunai,12000,Kamis,Kecil
TRX0033,2026-08-10,Jus Alpukat,Minuman,1,8000,Bu Wati,Tunai,8000,Senin,Kecil
TRX0010,2026-08-04,Keripik Singkong,Snack,12,3000,Pak Joko,QRIS,36000,Selasa,Sedang
TRX0018,2026-08-05,Kerupuk,Snack,9,2000,Pak Joko,QRIS,18000,Rabu,Kecil
TRX0037,2026-08-10,Kerupuk,Snack,8,2000,Pak Agus,Tunai,16000,Senin,Kecil
TRX0038,2026-08-10,Mie Ayam,Makanan,2,10000,Pak Joko,Transfer,20000,Senin,Sedang
TRX0028,2026-08-07,Mie Ayam,Makanan,4,10000,Pak Joko,QRIS,40000,Jumat,Sedang
TRX0016,2026-08-05,Nasi Goreng,Makanan,11,12000,Bu Sri,Transfer,132000,Rabu,Besar
TRX0040,2026-08-11,Jus Alpukat,Minuman,1,8000,Bu Wati,Tunai,8000,Selasa,Kecil
